title,F,M
12 Angry Men ,4.520833333333333,4.194444444444445
Trainspotting ,4.04054054054054,4.183908045977011
"Lock, Stock & Two Smoking Barrels ",4.0,4.1826923076923075
Léon: The Professional ,3.8026315789473686,4.180851063829787
Amadeus ,4.096153846153846,4.175675675675675
Young Frankenstein ,3.8863636363636362,4.173076923076923
Spirited Away ,4.03125,4.170212765957447
"Silence of the Lambs, The ",4.071428571428571,4.163636363636364
Citizen Kane ,4.275862068965517,4.160714285714286
"Graduate, The ",4.066666666666666,4.1525423728813555
"Lord of the Rings: The Return of the King, The ",4.0638297872340425,4.151162790697675
"Lord of the Rings: The Two Towers, The ",3.8545454545454545,4.146616541353383
"Sixth Sense, The ",3.642857142857143,4.145833333333333
This Is Spinal Tap ,3.9,4.145161290322581
"Pianist, The ",4.09375,4.144444444444445
Apocalypse Now ,4.129032258064516,4.1419753086419755
L.A. Confidential ,4.071428571428571,4.138888888888889
Goodfellas ,4.364864864864865,4.138297872340425
"Prestige, The ",4.083333333333333,4.1375
District 9 ,3.6538461538461537,4.125
Butch Cassidy and the Sundance Kid ,4.333333333333333,4.12280701754386
Lawrence of Arabia ,4.464285714285714,4.121621621621622
Inception ,3.870967741935484,4.11875
Inglourious Basterds ,4.1875,4.116279069767442
Wallace & Gromit: The Wrong Trousers ,4.026315789473684,4.116071428571429
Ferris Bueller's Day Off ,3.7625,4.112903225806452
Good Will Hunting ,4.2272727272727275,4.106194690265487
Full Metal Jacket ,3.8666666666666667,4.101351351351352
Singin' in the Rain ,4.404761904761905,4.093023255813954
Brazil ,3.8947368421052633,4.093023255813954
V for Vendetta ,3.7777777777777777,4.090909090909091
Blade Runner ,3.9,4.089622641509434
Amelie ,4.136363636363637,4.081521739130435
"Shining, The ",3.888888888888889,4.081081081081081
Indiana Jones and the Last Crusade ,3.8421052631578947,4.077981651376147
"Boot, Das ",4.458333333333333,4.076923076923077
Stand by Me ,4.145161290322581,4.074074074074074
Snatch ,3.9,4.073333333333333
Star Wars: Episode VI - Return of the Jedi ,4.033333333333333,4.070063694267516
"Clockwork Orange, A ",3.8,4.065934065934066
Witness ,4.0,4.064102564102564
Hoop Dreams ,4.0,4.058139534883721
Donnie Darko ,3.966666666666667,4.055555555555555
American History X ,3.92,4.054878048780488
"Wizard of Oz, The ",3.7205882352941178,4.054216867469879
"Sting, The ",3.90625,4.053191489361702
Seven ,4.008196721311475,4.046428571428572
Gladiator ,3.8289473684210527,4.044776119402985
"Terminator, The ",3.7125,4.0423728813559325
"Bridge on the River Kwai, The ",4.411764705882353,4.041666666666667
Alien ,3.857142857142857,4.038043478260869
Manhattan ,3.730769230769231,4.036585365853658
Like Water for Chocolate ,3.5714285714285716,4.036585365853658
Annie Hall ,4.275,4.033333333333333
Iron Man ,4.0,4.033333333333333
Being John Malkovich ,3.763888888888889,4.033333333333333
Star Trek: First Contact ,3.4285714285714284,4.032786885245901
Monty Python's Life of Brian ,3.4444444444444446,4.03125
Forrest Gump ,4.106481481481482,4.030042918454936
Up ,3.71875,4.022222222222222
Grosse Pointe Blank ,3.8,4.020408163265306
Much Ado About Nothing ,3.925,4.0125
"Beautiful Mind, A ",3.8,4.005952380952381
Election ,4.159090909090909,4.0
Terminator 2: Judgment Day ,4.03030303030303,3.997076023391813
Back to the Future ,4.064516129032258,3.9969512195121952
"Breakfast Club, The ",3.9571428571428573,3.9939024390243905
Little Miss Sunshine ,3.7291666666666665,3.9903846153846154
"Bourne Ultimatum, The ",3.875,3.988888888888889
Airplane! ,3.4375,3.9864864864864864
Dead Man Walking ,3.8225806451612905,3.9863013698630136
Life Is Beautiful ,4.120689655172414,3.9857142857142858
2001: A Space Odyssey ,3.642857142857143,3.9829545454545454
Catch Me If You Can ,3.9482758620689653,3.9785714285714286
"Big Lebowski, The ",4.042857142857143,3.976470588235294
Aliens ,3.75,3.9742268041237114
"Sound of Music, The ",3.88,3.9727272727272727
Pan's Labyrinth ,3.111111111111111,3.9705882352941178
Gone with the Wind ,4.294117647058823,3.9607843137254903
Shakespeare in Love ,3.984375,3.960674157303371
"Fish Called Wanda, A ",4.0,3.9603174603174605
Batman Begins ,3.6166666666666667,3.953333333333333
Requiem for a Dream ,3.6176470588235294,3.951923076923077
Sin City ,3.9473684210526314,3.9508196721311477
High Fidelity ,4.0,3.949275362318841
Big ,3.611111111111111,3.943661971830986
"Game, The ",3.8214285714285716,3.943548387096774
Close Encounters of the Third Kind ,3.8055555555555554,3.9431818181818183
Ed Wood ,3.826923076923077,3.9423076923076925
Traffic ,3.8,3.939655172413793
Primal Fear ,3.764705882352941,3.9393939393939394
Casino ,3.9782608695652173,3.9384615384615387
"Fugitive, The ",3.985294117647059,3.9379310344827587
"Good, the Bad and the Ugly, The ",3.9411764705882355,3.9375
"Christmas Story, A ",4.333333333333333,3.935185185185185
Shrek ,3.608695652173913,3.93359375
"Green Mile, The ",3.896551724137931,3.9324324324324325
True Romance ,3.8076923076923075,3.9318181818181817
Ratatouille ,4.117647058823529,3.9285714285714284
Lost in Translation ,3.576923076923077,3.9237288135593222
Blazing Saddles ,3.9705882352941178,3.922222222222222
"Hunt for Red October, The ",3.8392857142857144,3.920289855072464
Platoon ,3.973684210526316,3.9183673469387754
Sling Blade ,3.7941176470588234,3.9183673469387754
Die Hard ,3.7195121951219514,3.918181818181818
Braveheart ,4.0,3.9172185430463577
Toy Story ,3.7756410256410255,3.9171597633136095
Pirates of the Caribbean: The Curse of the Black Pearl ,3.7142857142857144,3.914141414141414
Office Space ,3.92,3.9135802469135803
"Monsters, Inc. ",3.8088235294117645,3.9114583333333335
Groundhog Day ,3.6555555555555554,3.908333333333333
Almost Famous ,3.84,3.9054054054054053
Apollo 13 ,3.8984375,3.9044117647058822
Harry Potter and the Goblet of Fire ,3.8333333333333335,3.902439024390244
Rain Man ,4.136363636363637,3.9011627906976742
Clerks ,4.125,3.896103896103896
Raising Arizona ,4.068181818181818,3.8958333333333335
Twelve Monkeys ,3.9913793103448274,3.8949275362318843
"Crying Game, The ",4.0,3.8947368421052633
E.T. the Extra-Terrestrial ,3.478723404255319,3.8893805309734515
"Blues Brothers, The ",3.9130434782608696,3.887323943661972
"Truman Show, The ",3.8857142857142857,3.8872549019607843
Kill Bill: Vol. 1 ,3.676470588235294,3.883116883116883
Mary Poppins ,3.652173913043478,3.881818181818182
Jaws ,3.5172413793103448,3.8734177215189876
Saving Private Ryan ,4.114035087719298,3.873134328358209
Big Fish ,3.6923076923076925,3.869047619047619
"O Brother, Where Art Thou? ",3.9047619047619047,3.8666666666666667
Juno ,3.8333333333333335,3.8627450980392157
"Incredibles, The ",3.857142857142857,3.8626373626373627
Go ,3.9,3.8625
"Piano, The ",3.5,3.861111111111111
"Few Good Men, A ",3.8684210526315788,3.8596491228070176
Toy Story 2 ,3.803030303030303,3.858695652173913
Bowling for Columbine ,4.125,3.858695652173913
"Full Monty, The ",3.5555555555555554,3.858695652173913
Some Like It Hot ,4.3076923076923075,3.858490566037736
"Crouching Tiger, Hidden Dragon ",3.8653846153846154,3.852272727272727
Boogie Nights ,4.208333333333333,3.85
When Harry Met Sally... ,4.136363636363637,3.8461538461538463
Rushmore ,4.25,3.84375
Rocky ,3.638888888888889,3.843137254901961
Cape Fear ,3.2857142857142856,3.840909090909091
Heat ,3.960526315789474,3.840909090909091
Casino Royale ,3.90625,3.8404255319148937
Fantasia ,3.5294117647058822,3.8404255319148937
"Bourne Identity, The ",4.0,3.83974358974359
Sense and Sensibility ,4.145833333333333,3.838709677419355
Ocean's Eleven ,3.8472222222222223,3.8383838383838382
Crash ,4.090909090909091,3.8369565217391304
"Jungle Book, The ",3.2,3.8333333333333335
Goldfinger ,3.5,3.8285714285714287
"Bourne Supremacy, The ",3.7045454545454546,3.826923076923077
"Exorcist, The ",3.4722222222222223,3.8260869565217392
In the Line of Fire ,3.9464285714285716,3.8173076923076925
Indiana Jones and the Temple of Doom ,3.6296296296296298,3.816901408450704
"Untouchables, The ",4.166666666666667,3.8157894736842106
Edward Scissorhands ,3.9545454545454546,3.8134328358208953
Heathers ,3.7857142857142856,3.8125
Star Trek ,3.909090909090909,3.8125
Army of Darkness ,3.85,3.8095238095238093
Best in Show ,3.6333333333333333,3.8068181818181817
Crimson Tide ,3.8958333333333335,3.8035714285714284
"Rock, The ",3.5853658536585367,3.8031914893617023
Ghostbusters ,3.5875,3.800925925925926
Harry Potter and the Prisoner of Azkaban ,3.685185185185185,3.7982456140350878
"Little Mermaid, The ",3.5,3.797872340425532
"Fifth Element, The ",3.418918918918919,3.7962962962962963
Finding Nemo ,3.828125,3.7944444444444443
Jerry Maguire ,3.4482758620689653,3.792207792207792
Dark City ,3.4,3.7916666666666665
Animal House ,3.84375,3.7906976744186047
WALL·E ,3.5,3.787037037037037
"Jerk, The ",3.5,3.7857142857142856
"Manchurian Candidate, The ",4.138888888888889,3.784090909090909
"Royal Tenenbaums, The ",3.65625,3.7830188679245285
Shaun of the Dead ,4.068181818181818,3.78125
Magnolia ,3.46875,3.7804878048780486
Glory ,3.9705882352941178,3.7804878048780486
Star Trek II: The Wrath of Khan ,3.590909090909091,3.778688524590164
Willy Wonka & the Chocolate Factory ,3.702127659574468,3.777227722772277
Bonnie and Clyde ,4.083333333333333,3.776315789473684
Slumdog Millionaire ,3.7333333333333334,3.77027027027027
James and the Giant Peach ,3.3529411764705883,3.763888888888889
Contact ,3.619047619047619,3.76056338028169
28 Days Later ,3.9375,3.75
Lady and the Tramp ,3.5789473684210527,3.75
"English Patient, The ",3.1176470588235294,3.745614035087719
Garden State ,3.3529411764705883,3.7439024390243905
Beauty and the Beast ,3.7734375,3.7436974789915967
About a Boy ,3.3461538461538463,3.7435897435897436
"Goonies, The ",3.5,3.7432432432432434
"Lion King, The ",3.856164383561644,3.732283464566929
Minority Report ,3.564516129032258,3.732142857142857
Predator ,3.0,3.731707317073171
Clear and Present Danger ,3.8902439024390243,3.72972972972973
Quiz Show ,3.7903225806451615,3.7288135593220337
"Birds, The ",3.8125,3.7285714285714286
"Postman, The ",3.7058823529411766,3.7285714285714286
Men in Black ,3.517543859649123,3.725563909774436
Pinocchio ,3.36,3.7195121951219514
Shrek 2 ,3.269230769230769,3.7181818181818183
Harry Potter and the Sorcerer's Stone ,3.5,3.7171052631578947
Star Wars: Episode III - Revenge of the Sith ,3.3666666666666667,3.7127659574468086
Jurassic Park ,3.6956521739130435,3.7115384615384617
Shutter Island ,4.038461538461538,3.710526315789474
Chicago ,3.5294117647058822,3.7058823529411766
Moulin Rouge ,3.46875,3.7051282051282053
Million Dollar Baby ,3.6875,3.704081632653061
"Nightmare Before Christmas, The ",3.5,3.701492537313433
Dead Poets Society ,4.0,3.698529411764706
M*A*S*H ,3.875,3.697674418604651
Aladdin ,3.6301369863013697,3.6971830985915495
Dances with Wolves ,3.7615384615384615,3.697080291970803
"Abyss, The ",3.3,3.6964285714285716
Unforgiven ,4.681818181818182,3.6956521739130435
"American President, The ",3.685185185185185,3.690909090909091
Fast Times at Ridgemont High ,3.433333333333333,3.689189189189189
Beverly Hills Cop ,3.6538461538461537,3.6842105263157894
What's Eating Gilbert Grape ,3.9583333333333335,3.6826923076923075
Eyes Wide Shut ,3.466666666666667,3.6770833333333335
Babe ,3.4607843137254903,3.6752577319587627
Four Weddings and a Funeral ,3.7023809523809526,3.675
As Good as It Gets ,3.838709677419355,3.6691176470588234
Sneakers ,3.5,3.6666666666666665
Little Women ,3.7222222222222223,3.6666666666666665
Mr. Holland's Opus ,3.7333333333333334,3.6666666666666665
Spaceballs ,3.5,3.6666666666666665
Clueless ,3.3666666666666667,3.66
Kill Bill: Vol. 2 ,3.6785714285714284,3.66
There's Something About Mary ,3.2857142857142856,3.659090909090909
Snow White and the Seven Dwarfs ,3.675,3.656862745098039
Harry Potter and the Chamber of Secrets ,3.710526315789474,3.6451612903225805
Meet the Parents ,3.0344827586206895,3.6440677966101696
Sleepy Hollow ,3.5833333333333335,3.6375
Spider-Man 2 ,3.5952380952380953,3.634920634920635
Who Framed Roger Rabbit? ,3.78,3.6325301204819276
My Fair Lady ,3.6923076923076925,3.6315789473684212
Cinderella ,3.21875,3.630952380952381
Jackie Brown ,3.8666666666666667,3.630952380952381
"Bug's Life, A ",3.578125,3.6232876712328768
Scarface ,3.9166666666666665,3.6219512195121952
Avatar ,3.7058823529411766,3.62
Romancing the Stone ,3.5,3.6145833333333335
Leaving Las Vegas ,4.03125,3.608695652173913
"Good Morning, Vietnam ",3.8,3.6052631578947367
Executive Decision ,3.225,3.597560975609756
"40-Year-Old Virgin, The ",3.7666666666666666,3.5972222222222223
Chasing Amy ,3.5,3.59375
X-Men ,3.4516129032258065,3.59375
Maverick ,3.4464285714285716,3.5930232558139537
"Avengers, The ",3.6666666666666665,3.59
Gattaca ,3.857142857142857,3.5892857142857144
Ice Age ,2.9166666666666665,3.588888888888889
"Fly, The ",3.0588235294117645,3.588888888888889
Legends of the Fall ,3.238095238095238,3.5865384615384617
Mighty Aphrodite ,3.7666666666666666,3.5833333333333335
Spider-Man ,3.397727272727273,3.5833333333333335
Dave ,3.517857142857143,3.5806451612903225
300 ,3.5,3.5795454545454546
X2: X-Men United ,3.763157894736842,3.5725806451612905
"Crow, The ",3.62,3.5714285714285716
Lethal Weapon ,3.659090909090909,3.5661764705882355
William Shakespeare's Romeo + Juliet ,3.4375,3.5595238095238093
Field of Dreams ,3.625,3.5588235294117645
Star Trek IV: The Voyage Home ,3.25,3.556603773584906
Sabrina ,3.225,3.5535714285714284
Love Actually ,3.65625,3.551282051282051
Bridget Jones's Diary ,3.275,3.549019607843137
Get Shorty ,3.5294117647058822,3.540983606557377
Philadelphia ,4.0,3.5403225806451615
Erin Brockovich ,3.5869565217391304,3.5403225806451615
Ransom ,3.6153846153846154,3.54
Chicken Run ,3.0454545454545454,3.538961038961039
Total Recall ,3.3703703703703702,3.5348837209302326
RoboCop ,3.3,3.5306122448979593
King Kong ,3.25,3.5256410256410255
Caddyshack ,3.1153846153846154,3.524390243902439
True Lies ,3.5,3.5225563909774436
Speed ,3.663793103448276,3.5204918032786887
Galaxy Quest ,3.466666666666667,3.52
Grease ,3.375,3.515151515151515
Austin Powers: International Man of Mystery ,3.111111111111111,3.5140845070422535
My Cousin Vinny ,3.652173913043478,3.509433962264151
Alice in Wonderland ,3.392857142857143,3.5089285714285716
Jumanji ,3.265957446808511,3.5083333333333333
"Birdcage, The ",3.734375,3.5
School of Rock ,3.5833333333333335,3.5
Scream ,3.2291666666666665,3.5
Desperado ,3.5476190476190474,3.5
Superman ,3.1666666666666665,3.5
"Italian Job, The ",3.53125,3.5
GoldenEye ,3.369047619047619,3.49375
"South Park: Bigger, Longer and Uncut ",3.5357142857142856,3.4918032786885247
Dracula ,3.2954545454545454,3.4875
Pleasantville ,3.8541666666666665,3.4875
"Firm, The ",3.445945945945946,3.4863013698630136
Mission: Impossible ,3.6293103448275863,3.481818181818182
Enemy of the State ,3.4791666666666665,3.4767441860465116
Muriel's Wedding ,3.3461538461538463,3.4651162790697674
10 Things I Hate About You ,3.5,3.4625
Independence Day ,3.537878787878788,3.460526315789474
Die Hard: With a Vengeance ,3.4245283018867925,3.455056179775281
Cast Away ,3.5217391304347827,3.452054794520548
Beetlejuice ,3.4193548387096775,3.4452054794520546
Mrs. Doubtfire ,3.508771929824561,3.4427083333333335
Sleepless in Seattle ,3.4054054054054053,3.4375
Wayne's World ,3.2857142857142856,3.4339622641509435
Tombstone ,3.5714285714285716,3.4305555555555554
"League of Their Own, A ",3.5,3.4302325581395348
Interview with the Vampire: The Vampire Chronicles ,3.34375,3.4285714285714284
French Kiss ,3.1944444444444446,3.4285714285714284
Pirates of the Caribbean: Dead Man's Chest ,3.3947368421052633,3.425
Back to the Future Part II ,3.6346153846153846,3.4246575342465753
Phenomenon ,3.1136363636363638,3.42
Batman ,3.388888888888889,3.4197080291970803
My Best Friend's Wedding ,3.03125,3.4166666666666665
Face/Off ,3.5625,3.406779661016949
Dogma ,3.1136363636363638,3.4035087719298245
Blade ,3.088235294117647,3.402439024390244
"Hunchback of Notre Dame, The ",3.3181818181818183,3.396551724137931
"Talented Mr. Ripley, The ",4.166666666666667,3.3947368421052633
Miracle on 34th Street ,3.7,3.392857142857143
So I Married an Axe Murderer ,3.25,3.388888888888889
"Mask of Zorro, The ",3.5,3.3857142857142857
My Big Fat Greek Wedding ,3.2916666666666665,3.3846153846153846
"Patriot, The ",3.0555555555555554,3.382978723404255
Kingpin ,3.2222222222222223,3.380952380952381
Dirty Dancing ,3.3333333333333335,3.375
Unbreakable ,3.0,3.37
"Truth About Cats & Dogs, The ",3.473684210526316,3.369047619047619
Titanic ,3.212962962962963,3.360655737704918
Wag the Dog ,3.6041666666666665,3.357142857142857
Stargate ,3.3962264150943398,3.3532608695652173
While You Were Sleeping ,3.621212121212121,3.3529411764705883
American Pie ,3.142857142857143,3.3493975903614457
Notting Hill ,3.4545454545454546,3.3452380952380953
The Devil's Advocate ,3.7222222222222223,3.3452380952380953
Outbreak ,3.2432432432432434,3.3424657534246576
"Wedding Singer, The ",2.975,3.34
Star Trek: Generations ,3.371794871794872,3.34
Happy Gilmore ,3.212121212121212,3.3360655737704916
Basic Instinct ,3.1363636363636362,3.3333333333333335
Ghost ,3.310810810810811,3.331460674157303
"Client, The ",3.325,3.33
Natural Born Killers ,3.361111111111111,3.323943661971831
Pretty Woman ,3.425925925925926,3.3225806451612905
Grumpier Old Men ,2.764705882352941,3.3214285714285716
Top Gun ,3.3333333333333335,3.3207547169811322
Austin Powers: The Spy Who Shagged Me ,3.1379310344827585,3.319277108433735
"Rocky Horror Picture Show, The ",2.7666666666666666,3.3020833333333335
Hot Shots! Part Deux ,2.8947368421052633,3.3
Star Wars: Episode I - The Phantom Menace ,2.9166666666666665,3.299019607843137
Star Trek III: The Search for Spock ,3.4,3.2954545454545454
Planet of the Apes ,3.3333333333333335,3.288732394366197
Die Hard 2 ,3.2941176470588234,3.2857142857142856
Alien³ ,2.8181818181818183,3.272727272727273
Splash ,2.8461538461538463,3.269230769230769
Crocodile Dundee ,3.1666666666666665,3.261904761904762
Back to the Future Part III ,3.314814814814815,3.246268656716418
"Matrix Reloaded, The ",3.3260869565217392,3.2457627118644066
101 Dalmatians ,3.0555555555555554,3.2450980392156863
Signs ,2.966666666666667,3.2435897435897436
Tommy Boy ,3.5,3.242857142857143
"Three Musketeers, The ",3.1136363636363638,3.234375
Star Wars: Episode II - Attack of the Clones ,2.75,3.217741935483871
"Mummy, The ",3.54,3.216666666666667
Mr. & Mrs. Smith ,2.90625,3.2142857142857144
"I, Robot ",3.7333333333333334,3.2023809523809526
Antz ,3.5,3.2
Addams Family Values ,3.06,3.1979166666666665
Father of the Bride Part II ,3.4166666666666665,3.1973684210526314
Twister ,3.355769230769231,3.193877551020408
You've Got Mail ,3.3260869565217392,3.189189189189189
Lethal Weapon 2 ,3.2916666666666665,3.188888888888889
Dumb & Dumber ,2.9913793103448274,3.18
"Matrix Revolutions, The ",2.6666666666666665,3.1794871794871793
Eraser ,3.0,3.1666666666666665
Broken Arrow ,3.2058823529411766,3.1610169491525424
Disclosure ,3.2142857142857144,3.1578947368421053
Armageddon ,2.772727272727273,3.15625
Tin Cup ,3.4473684210526314,3.1515151515151514
Mars Attacks! ,2.525,3.15
Liar Liar ,3.2708333333333335,3.148936170212766
Cliffhanger ,2.988095238095238,3.1484375
Bruce Almighty ,3.0,3.138888888888889
Cruel Intentions ,3.1,3.138888888888889
American Psycho ,3.6363636363636362,3.1375
Batman Returns ,2.9166666666666665,3.125
Con Air ,3.611111111111111,3.1097560975609757
Air Force One ,3.7222222222222223,3.105769230769231
Robin Hood: Men in Tights ,2.977272727272727,3.104651162790698
Dragonheart ,3.138888888888889,3.102272727272727
Starship Troopers ,3.0833333333333335,3.1018518518518516
Analyze This ,3.59375,3.085714285714286
Home Alone ,3.1630434782608696,3.0843373493975905
Naked Gun 33 1/3: The Final Insult ,3.0,3.077777777777778
Bowfinger ,3.076923076923077,3.0657894736842106
"Net, The ",3.206896551724138,3.0616438356164384
"Mask, The ",3.1176470588235294,3.047169811320755
"Perfect Storm, The ",2.730769230769231,3.025
Pocahontas ,2.7222222222222223,3.011627906976744
"Santa Clause, The ",2.9310344827586206,2.9878048780487805
Mission: Impossible II ,2.95,2.9754098360655736
"Nutty Professor, The ",3.0588235294117645,2.9615384615384617
A.I. Artificial Intelligence ,2.8666666666666667,2.95
"Blair Witch Project, The ",2.34,2.901639344262295
Arachnophobia ,3.0,2.8877551020408165
Demolition Man ,3.1515151515151514,2.870967741935484
Gone in 60 Seconds ,2.6315789473684212,2.8684210526315788
Batman Forever ,2.6818181818181817,2.835294117647059
"Honey, I Shrunk the Kids ",2.56,2.8333333333333335
Last Action Hero ,3.0277777777777777,2.8142857142857145
Ace Ventura: Pet Detective ,2.9923076923076923,2.8
"Lost World: Jurassic Park, The ",3.264705882352941,2.76
Charlie's Angels ,2.74,2.7222222222222223
City Slickers II: The Legend of Curly's Gold ,2.5416666666666665,2.717948717948718
Species ,3.0,2.7162162162162162
Judge Dredd ,2.3076923076923075,2.715909090909091
Casper ,3.1666666666666665,2.7027027027027026
Beverly Hills Cop III ,2.575,2.6621621621621623
Ace Ventura: When Nature Calls ,2.5,2.6578947368421053
Waterworld ,3.013888888888889,2.6298701298701297
Space Jam ,3.0,2.5675675675675675
Miss Congeniality ,3.210526315789474,2.5588235294117645
"Cable Guy, The ",2.5833333333333335,2.5365853658536586
Coneheads ,2.590909090909091,2.378787878787879
Congo ,2.3260869565217392,2.35
