title,weightage
Efficiently handling duplicates in a Python list,66
How to get reproducible results in keras,66
Python OpenCV - Trouble detecting tiny &quot;holes&quot; (circles),59
SciPy Optimization algorithm,58
Sub-array division with overlap,57
Theano logistic regression dimension mismatch,57
How to remove every other element of an array in python? (The inverse of np.repeat()?),55
kNN - How to locate the nearest neighbors in the training matrix based on the calculated distances,54
"Normal equation and Numpy &#39;least-squares&#39;, &#39;solve&#39; methods difference in regression?",54
Efficiently sum up a couple of values into several bins in Numpy,52
Emulate texture reading with Numpy,52
Get rid of a dimension by concatenating into another dimension,52
Performance difference between scipy and numpy norm,51
"numpy 1.9.3, ImportError: No module named _globals",51
Matlab equivalent of Numpy broadcasting?,51
Matrix vector product of panel and dataframe without loop,51
Subclassing datetime64,50
Fast calculation of Pareto front in Python,49
Delete rows at select indexes from a numpy array,45
Cleanest way to combine reduce and map in Python,45
complex merge pandas numpy with Aggregation,45
Numpy installation issues with Miniconda2,44
PDF Distributions in Python with Scipy,43
Second Derivative in Python - scipy/numpy/pandas,43
scipy.integrate.odeint with segmentation fault,42
How to force scipy to integrate using Adams?,42
How can I convert a tensor into a numpy array in TensorFlow?,41
Difficulty Setting Up Numpy for Python 2.7 on Mac OSX,41
Difference between numpy dot() and Python 3.5+ matrix multiplication @,39
Numpy unique elements according to every column,38
Is there a Matlab&#39;s buffer equivalent in numpy?,38
assigning to a wrapped slice of a numpy array,38
pandas to numpy array for sklearn pipeline,38
Fill matrix diagonal with different values for each python numpy,37
Numpy reshape 1d to 2d array with 1 column,37
How to read realtime microphone audio volume in python and ffmpeg or similar,36
Convert vtkPoints to numpy array?,36
Numpy build fails with cannot import multiarray,35
Error installing numpy,35
Saving a Numpy array as an image,35
How do I use the avx flag when compiling Fortran code using f2py?,34
Get the mean across multiple Pandas DataFrames,34
install scipy package via pycharm in windows 10 64 bit - python 3.5,32
Cannot figure out what input to use to get cv2.calcOpticalFlowPyrLK method to work,32
Arrange list to numpy array in matrix form,31
python: If loop returns wrong result,31
Compare elements in a numpy array 3 rows a time,31
How can I append a numpy array of N-Length to another array of N-dimensions?,31
pythonic way to aggregate arrays (numpy or not),31
Detrending a time-series of a multi-dimensional array without the for loops,31
Store integer and float in numpy array in matrix form,31
Find wrong colored pixels between boundaries,31
What is the python/numpy equivalent of num2cell()?,30
How to concatenate these two numpy arrays?,30
ValueError: Linkage &#39;Z&#39; uses the same cluster more than once in Python scipy fcluster,30
Determine if legacy VTK file is valid using Python,29
How to apply a short FIR low-pass filter in Python,29
Pyinstaller .exe cannot find _tiffile module,29
How to find the longest sub-array within a threshold?,29
Autoencoder - cost decreases but wrong output when more than one data example,28
Only show value of n*n matrix if value from another n*n has a certain value (Python),27
Rounding to significant figures in numpy,27
Explain why numpy should not be imported from source directory,27
Convert a numpy array of lists to a numpy array,27
Insert matplotlib&#39;s Path into Numpy ndarray,26
Using Numpy Array to Create Unique Array,26
compare two pandas data frame,26
Piecewise Affine Transform+warp output looks strange,25
check how many elements are equal in two numpy arrays python,25
When to apply(pd.to_numeric) and when to astype(np.float64) in python?,24
Numpy: efficiently sum sub matrix m of M,24
Numpy: rotate sub matrix m of M,24
"Most efficient way to sum huge 2D NumPy array, grouped by ID column?",24
How to remove or mask values in a numpy array based on another array,24
Numpy: efficiently expand a matrix from submatrix,24
Numpy: extract data and coordinates from 2-D arrays,24
"NumPy: Finding minimum in submatrices/blocks and corresponding row, column indices",24
Numpy: find local co-ordinates within a submatrix,24
Numpy: create a matrix from smaller matrices,24
Numpy: find the euclidean distance between two 3-D arrays,24
Grid of values from a table in python,23
Returned result is false with numpy conditions,23
SciPy pdist diagonal is zero with custom metric function,23
Replace value with two arrays numpy,23
using numpy.any to match color in opencv gives strange results,22
Overriding other __rmul__ with your class&#39;s __mul__,22
Fastest way to build a Matrix with a custom architecture,22
Windows Scipy Install: No Lapack/Blas Resources Found,21
Polygon as a numpy matrix mask,21
Import Error: No module named numpy,21
How to do a substring using pandas or numpy,20
fill_between of pandas Dataframe (values) by column,20
Delete row and column in symmetric array if all the values in a row (or column) do not satisfy a given contion,20
Covariance matrix from np.polyfit() has negative diagonal?,20
assigning different data types for different columns in a numpy array,19
ValueError: Unknown label type: array while using Decision Tree Classifier and using a custom dataset,19
Implementing ast.literal_eval on a numpy array involves lists,19
What am I doing wrong in this Dopri5 implementation,19
Reshaping a python numpy array in a custom way,19
How to reduce the degree of sparseness of a 2D numpy array?,19
Reading tab delimited csv into numpy array with different data types,19
Numpy: Get random set of rows from 2D array,18
Select xarray/pandas index based on specific months,18
bounding box of numpy array,18
Convert type from BigFloat to Float in python,18
Does NumPy have an inverse of unravel_index()?,18
Why aren&#39;t the numpy matrices equal?,17
Choosing a function from a list and applying it to generate an array,17
How to fill numpy array of zeros with ones given indices/coordinates,17
Calculate the Cumulative Distribution Function (CDF) in Python,17
Convert python ndarray to matlab matrix,16
Error importing numpy,16
Python from matrix to 1-D array,16
How to fill missing Timestamp values in padas data frame,16
Concatinating multiple Data frames of different length,16
Having trouble rewriting code to list comprehension for image rotation in python,15
np.choose not giving desired result after broadcasting,15
How to count the occurrence of certain item in an ndarray in Python?,15
Multiple indices for numpy array: IndexError: failed to coerce slice entry of type numpy.ndarray to integer,15
Installing NumPy and SciPy on 64-bit Windows (with Pip),15
Pythonic way to draw a bounded rectangle,15
Applying Sklearn Gaussian Mixture algorithm to fit GM curves,15
Integer optimization/maximization in numpy,14
Converting a 3D List to a 3D NumPy array,14
Numpy arange floating point inconsistency,14
Using a pre-trained word embedding (word2vec or Glove) in TensorFlow,13
python 2.7: cannot pip on windows &quot;bash: pip: command not found&quot;,13
Increasing speed of python list operations and comparisons in a custom table class,13
numpy delete list element from list of lists,13
"Ball tracker using OpenCV, Python and Raspberry Pi 3 w/ camera module",12
Numpy array of numpy arrays has 1D shape,12
numpy multivariate_normal bug when dimension too high,12
Split array s.t sub-arrays sum to original,12
Filling Array with subsequent value,12
numpy matrix vector multiplication,12
Efficient Numpy 2D array construction from 1D array,12
Convert grayscale image to color OpenCV python,12
out of memory while trying to read csv file into python,11
Accelerate or decelerate a movie clip,11
"ValueError: operands could not be broadcast together with shapes (224,224) (180,180)",11
sum numpy array of tags in one hot encoding,11
Python numpy masked array initialization,11
Tensorflow Numpy do not run with Python2.7 and 3.5 both on ipython notebook,11
definition of each section of the scipy linear programming function,11
What is the most efficient module for the display of an updating matrix,11
Speed up double for loop in numpy,11
Python - Loop parallelisation with joblib,11
Sort Numpy Array in Python,11
How to copy content of a numpy matrix to another?,11
How to get pandas dataframe where columns are the subsequent n-elements from another column dataframe?,11
Convert pandas to numpy.ndarray for sparse.hstack,11
Python script to count pixel values fails on a less-than/greater-than comparison,11
"numpy array 1.9.2 getting ValueError: could not broadcast input array from shape (4,2) into shape (4)",10
Asymmetric variant of the Cuthill-McKee algorithm,10
Remove Outliers from Python fit,10
how to hide axes in matplotlib.pyplot,10
Misclassification error in perceptron,10
convert a grayscale image to a 3-channel image,10
Theano shared variable constructor error,10
TensorFlow estimator.predict: Saving when as_iterable=True,10
Python - numpy.histogram2d contour map not appearing,10
Calculate the value of a function for each row in a matrix without iteration through all rows,10
Indexing and slicing dataframe by date and time in python,9
python - pass 3d array to C code,9
Filling a 2D matrix in numpy using a for loop,9
numpy: detect consecutive 1 in an array,9
Numpy Array reshape,9
np.where() or another boolean way for new pandas dataframe column,9
Efficient way to select most recent index with finite value in column from Pandas DataFrame?,9
nested np.where and boolean array indexing issue,9
python: mean of variable length 2 matrix,9
Pass numpy complex to float2 CUDA C via cython,9
Index matching with multiple columns in python,9
Python alternative for MATLAB code &#39;min(Ar_1(Ar_1~=0))&#39;,9
"Numpy: How to split/partition a dataset (array) into training and test datasets for, e.g., cross validation?",9
Python Numpy can&#39;t convert Strings to Integers from CSV file,9
Create n x n cell of vectors in python,9
python - set up time-step delay between two arrays,9
Convert a dict to numpy multi-dimensional array,9
log2 axis doesn&#39;t work for histograms in matplotlib/seaborn,9
Python OpenCV Error: Assertion failed (scn == 3 || scn == 4),9
cast numpy array into memmap,8
Obtain box2d from superpixels segments,8
Python numpy create copy and not reference,8
Convert a Python function to Cython,8
No module named &#39;numpy&#39;: Visual Studio Code,8
OWNDATA flag unreliable in both directions for numpy arrays?,8
Weight choice for sampling from a distribution to normal distribution,8
NumPy: fill fields surrounding a 1 in an array,8
Velocity from array of acceleration samples in Python,8
Difference between nan and &#39;nan&#39; in Python,8
how to handle nan in functions that should be used both for numpy and scalars?,8
Get rows of a first array matching rows of a second one,8
numpy.mean on varying row size,8
pandas new column equals another column with condition,8
Visualising 10 dimensional data with matplotlib,8
How can I interpret a float32 as four uint8s in numpy?,8
Cython Gibbs sampler slightly slower than numpy one,8
Check numpy installation? Ubuntu 16.04,8
Python pandas: flatten with arrays in column,8
&quot;No space left on device&quot; when installing Numpy on an Azure Web Role,8
Can we crop the input activations to match the dimensions of output as mentioned in the ResNet Paper,8
Calculating a 3D gradient with unevenly spaced points,8
Parse large dataset for regression using tensorflow,7
Pearson Correlation after Normalization,7
Indexing of 3d numpy arrays with 2d arrays,7
python: count events by certain id,7
Gauss(-Legendre) quadrature in python,7
How to reshape this image array in python?,7
Finding repeated rows in a numpy array,7
PSD of signal in numpy and how to scale it,7
Taking fast screenshot Winapi and Opencv,7
Convert numpy array to list of datetimes,7
Python code to return total count of no. of positions in which items are differing at same index,7
Training huge amounts of data with tensorflow,7
greycomatrix in python including NaN&#39;s,7
axis = 0 is not clearly understood in numpy.sum,7
Gradient Descent Variation doesn&#39;t work,7
Generate N positive integers within a range adding up to a total in python,7
Issue replacing values in numpy array,7
Python: Printing Pandas dataframe returns numpy.ndarray Attribute error,7
Converting a WinAPI screenshot to a OpenCV compatible form,7
Retrieve location info of a 2D Gaussian array,7
python filter 2d array by a chunk of data,7
Visualize feature selection in descending order with SelectKBest,7
Error while importing Tensorflow,7
hatch more than one data serie in a histogram,7
Numpy genfromtxt reads additional unwanted strings,7
Interpolation of datetimes for smooth matplotlib plot in python,7
Percentage format in elements of python graph,7
n tuples(or array) and specifying the value for each entry in the n tuple via Python,7
Exception : &quot;Invalid norm order for vectors&quot; - Python,7
Predictive modelling - Regression with grouped id&#39;s and moving average (python),7
Pandas Dataframe or Panel to 3d numpy array,7
Plotting asymmetric error bars Matplotlib,7
How to correctly install python-numpy in Ubuntu 11.10 Oneiric,7
Python: unable to convert string into number,7
Numpy matrix multiplication behaviour,7
How do I link python 3.4.3 to opencv?,6
TypeError: Mismatch between array dtype (&#39;|S6&#39;) and format specifier (&#39;%.18e&#39;),6
sklearn PCA not working,6
Pandas groupby with pct_change,6
opencv cvtColor dtype issue(error: (-215) ),6
Numpy conversion of column values in to row values,6
python 3D numpy array time index,6
Python: How do you stop numpy from multithreading?,6
Python matrix comparison,6
Pandas dataframe divide rows based on dates,6
None values in numpy arrays,6
Vertical Bar chart using rotation=&#39;vertical&#39; not working,6
Element wise subtraction of two lists of lists,6
Theano operations returning odd results,6
Python Numpy: Coalesce and return first nonzero observation,6
Trouble importing Scipy : ImportError: No module named &#39;NUMPY_MKL&#39;,6
How to add a list as an element of a numpy n-D Matrix,6
How to group pandas DataFrame by varying dates?,6
Finding subset of dataframe rows that maximize one column sum while limiting sum of another,6
Python3 numpy import error on cygwin 2.6.0,6
Can you use masks with meshgrid?,6
Numpy: How to vectorize parameters of a functional form of a function applied to a data set,6
Numpy: Checking if a value is NaT,6
CSV &gt;&gt; Tensorflow &gt;&gt; regression (via neural network) model,6
pairwise comparisons within a dataset,6
Find Indices Of Columns Having Some Nonzero Element In A 2d array,6
How slicing inequality interval by numpy or scipy,6
Convert mask from numpy array to QBItmap,6
How to convert Python OpenCV Image Matrix into a List of 4x4 blocks,6
"Scipy, differential evolution",5
Make a total vector for three vectors in python,5
How do I build numpy for unicode ucs4,5
Fitting GridSearchCV returns Unknown Label type,5
Python vectorization with a constant,5
Numpy element-wise in operation,5
Tensorarray initialization,5
How to turn a 1D radial profile into a 2D array in python,5
Is it possible to add a new field in a numpy.genfromtxt output?,5
Cleaning and grouping values,5
Randomly select list from list of lists in python depending on weights,5
"Python Array Reshaping Issue to Array with Shape (None, 192)",5
vectorization of an integral in scipy,5
append element to the end of each arrow in numpy array,5
how to append a numpy matrix into an empty numpy array,5
Performance characteristics of theano.shared variables vs numpy.ndarray (GPU),5
Plot chart before script end,5
Batch glimpse sensor with numpy,5
How to convert from a set to an array in python,5
how to multiply 2 numpy array with different dimensions,5
Fastest way to calculate many regressions in python?,5
How do I median bin a 2D image in python?,5
Python : save dictionaries through numpy.save,5
Optimizing bicubic equation solver with numpy,5
"working with multindexes in pandas, finding the 3 maximum for each subindex and outputting the data",5
insert element in the start of the numpy array,5
Modifying/Overwriting NumPy Array,4
Memory usage doubled when passing matrix to shared object,4
"Difference between numpy.zeros(n) and numpy.zeros(n,1)",4
Determine mean value of ‘data’ where the highest number of CONTINUOUS cond=True,4
logical arrays and mapping in python,4
Efficiently summing outer product for 1D NumPy arrays,4
how to pad an 1-D numpy array with 0&#39;s,4
Finding a minimum value in each column of 8*720 array?,4
density plot and scipy gaussian kernel,4
How can I insert a Series into a DataFrame row?,4
Python Pandas: &#39;numpy.ndarray&#39; object has no attribute &#39;apply&#39;,4
iPython imshow() or numpy row selection,4
Slicing arrays based on boolean array in python,4
IndexError: too many indices for array - Total Energy Matrix Variational Method,4
Replace the diagonal elements of a matrix with sum of other elements in the row in Python,4
How to evaluate the sum of values within array blocks,4
SyntaxError: keyword can&#39;t be an expression with np.zeroes,4
Splitting strings in an array in python,4
Circular lat/lon crop of a NetCDF file with Python,4
Why are the return types of the numpy sum and mean function behaving differently when fed with a masked array?,4
Overlap Integrals in Python - Storing Results in Array,4
matplotlib best practice chart with markers,4
Standard deviation of combinations of dices,4
Multipolyfit (Python): What order are the coefficients in?,4
Find if a sorted array of floats contains numbers in a certain range efficiently,4
Multiply all values of multiple tuples within a list (python),4
different size of element in numpy array and list,4
image processing using python and scipy,4
Sending numpy arrays via Socket,4
Python Update a submatrix given the indexes by a 2d matrix,4
Importing packages on Anaconda on Windows won&#39;t work if PYTHONPATH is set,4
Python numpy.fft changes strides,4
python: split matrix in hermitian and anti-hermitian part,4
broadcast / extend boolean array along axis in python,4
Ubunto:3.19_x86_64: Unable to import &quot;Theano&quot; in Anaconda 4.2 with python 2.7,4
Python FFTN slow in comparison to MATLAB,4
sklearn LassoLarsCV gives a null regression coefficient for all the predictor variables,4
Basemap to 2d numpy array,4
append to an array without replacing original array python,4
reading middlebury &#39;flow&#39; files with python (bytes array &amp; numpy),4
How to append element to each vector in a matrix - Python,4
From 3D to 2D-array Basemap plot (Python),3
matplotlib/pyplot not plotting data from specific .txt file,3
Python: Syntax appears to be exponentiating an array? Help me interpret?,3
Tensorflow - Testing a mnist neural net with my own images,3
Using .remove() creates error &quot;Use a.any() or a.all()&quot;,3
Python: passing memmap array through function?,3
How to use matplotlib to plot a function graph if I have 2 prepared np.arrays of points?,3
How to pass OpenCV image to Tesseract in python?,3
Conditional statements in a loop,3
Linear algebra in Numpy,3
AttributeError: &#39;numpy.ndarray&#39; object has no attribute &#39;split&#39;,3
AttributeError: &#39;numpy.ndarray&#39; object has no attribute &#39;median&#39;,3
Sort matrix based on its diagonal entries,3
scipy convolve2d outputs wrong values,3
Vector Matrix product differences between sparse and dense matrix,3
"Seems to have both NumPy 1.8.2 and 1.10.4 installed, also compatibility issues between rllab and OpenAI gym?",3
Vstack over an empty array,3
"In python, how do I create an upper-diagonal table without the diagonal?",3
"Given a list of arrays or 3 dimensional array, how do you find the maximum value?",3
finding the upper limit of integral using fsolve,3
Python/Opencv Float converting to incorrect Int when casted,3
Python Pandas creating a long list of dataframes to get concatenated,3
"Given two timestamps, how do I return the delta in terms of &quot;business minutes&quot;",3
Cython actually slowing me down,3
Change string to integer in all lists inside a list using Python,3
AttributeError: &#39;Float&#39; object has no attribute &#39;sqrt&#39; With numpy.std(array),3
reading and slicing a 2d list in python,2
Speeding up sliding windowed average calculations,2
Store the result of a function with loop in a variable,2
complex math exercise on python,2
Python using custom color in plot,2
something errors when iI use Numpy,2
How to sample a numpy array and perform computation on each sample efficiently?,2
"How can I partially read 2d satellite file in Python? (binary, fromfile)",2
Removing a subarray after using numpy.split,2
Python Numpy: Performing different column operations over every N rows,2
"After installing anaconda, python gives error &quot;no module named numpy&quot;",2
"Numpy, new array based on an array within an array",2
Why do Mathematica and Python&#39;s answers differ when dealing with singular matrix equations?,2
How do I return a nonflat numpy array selecting elements given a set of conditions?,2
Trying to print shortest path from P matrix,2
How to generate features of data in my case so that I can use some tools like LinearRegression to predict?,2
Computing the correct effective interest rate with monthly fees,2
Multipolyfit IndexError: tuple index out of range,2
how to calculate Numpy.prod() that doesn&#39;t fit in 32bits,2
Merge multiple masks with different sizes,2
Python : could not convert string to float error,2
"Attempt to open h5py file, returns errorno = 17, error message = &#39;file exists&#39;",2
How to write string and ndarray into a file sequentially?,2
Numpy CAPI PyArray_New Visual Studio Warning C4055,2
Fitting data to numerical solution of an ode in python,2
How to use out parameter in numpy.argmin to retrieve minimum indices?,1
Numpy arrays changing id,1
Overlaying two pandas Dataframes or numpy arrays and creating a key-value dictionary,1
"&#39;float64&#39; can work, but &#39;float32&#39; cannot",1
Why sparse matrix computing on python is too slow,1
"I have a single dimention distribution which has two peaks, and a minima. How can I find the value of the minima in Python?",1
curve_fit() using python,1
Parallelization in Python using Numpy and Joblib,1
Efficient matrix multiplication in Matlab,1
Ranking python dictionary by percentile,1
make_node requires 4D tensor of kernels,1
time step data VTK to Maplotlib using Numpy,1
incrementing by 1 for a row and column for a slice,1
python - &#39;the truth value of an array with more than one element is ambiguous&#39; - what truth value?,1
A faster way to separate the green channel of an image,1
Still can&#39;t import after install numpy in TensorFlow tutorial,1
Is there an OpenCV equivalent of scipy.ndimage.find_objects?,1
Module has no Attribute &quot;Arrange&quot;,1
Phase portrait of a nonlinear system numpy,1
"Python: float() argument must be a string or a number, not &#39;interp2d&#39;",1
How can I pick specific records in TensorFlow from a .tfrecords file?,1
Python Multiprocessing data output wrong,1
"In python, how do I append/add, using a loop, a row to a numpy array without deleting the previous row?",1
TypeError: return arrays must be of ArrayType,1
Numpy speed up nested loop with fancy indexing,1
pyenv cannot copy anaconda packages to an anaconda virtualenv,1
MPI Collective Reduce and Allreduce with MPI.MINLOC in mpi4py not working,0
For Loop Optimization in Python,0
"I can&#39;t open my Excel file on python, using pandas",0
python matplotlib loop output not plotting,0
How to fix &quot;TypeError: len() of unsized object&quot;,0
Contour plot averaging inside bins,0
"Solve L1 regression using scipy.linprog get ValueError: could not broadcast input array from shape (20,1) into shape (20)",0
numpy is not a supported wheel on the platform,0
Looping math over arrays,0
read element from numpy.zeroes,0
Why can I make a numpy array that&#39;s (apparently) bigger than my computer&#39;s memory?,0
