title,rating
"Pianist, The ",3.75
Garden State ,3.75
Donnie Darko ,3.75
"American President, The ",3.75
King Kong ,3.75
Hoop Dreams ,3.75
Philadelphia ,3.75
Aliens ,3.7
Batman ,3.7
Armageddon ,3.666666667
While You Were Sleeping ,3.666666667
Get Shorty ,3.666666667
Annie Hall ,3.666666667
Field of Dreams ,3.666666667
Four Weddings and a Funeral ,3.666666667
To Kill a Mockingbird ,3.666666667
Harry Potter and the Chamber of Secrets ,3.666666667
Home Alone ,3.666666667
Spider-Man 2 ,3.666666667
Like Water for Chocolate ,3.666666667
"Bourne Identity, The ",3.666666667
Heat ,3.666666667
Quiz Show ,3.666666667
"I, Robot ",3.666666667
Star Trek II: The Wrath of Khan ,3.666666667
101 Dalmatians ,3.666666667
"Client, The ",3.666666667
Spider-Man ,3.666666667
Finding Nemo ,3.625
Harry Potter and the Sorcerer's Stone ,3.625
Natural Born Killers ,3.625
"Terminator, The ",3.625
Aladdin ,3.583333333
Titanic ,3.5
What's Eating Gilbert Grape ,3.5
Outbreak ,3.5
Phenomenon ,3.5
Robin Hood: Men in Tights ,3.5
Ocean's Eleven ,3.5
Speed ,3.5
Spaceballs ,3.5
Some Like It Hot ,3.5
Pinocchio ,3.5
Taxi Driver ,3.5
10 Things I Hate About You ,3.5
Life Is Beautiful ,3.5
Contact ,3.5
Lethal Weapon ,3.5
Groundhog Day ,3.5
"Manchurian Candidate, The ",3.5
Air Force One ,3.5
Enemy of the State ,3.5
Men in Black ,3.5
Million Dollar Baby ,3.5
"Avengers, The ",3.5
Mission: Impossible II ,3.5
Ice Age ,3.5
"Crow, The ",3.5
Harry Potter and the Prisoner of Azkaban ,3.5
Blade ,3.5
"Fifth Element, The ",3.5
Babe ,3.5
Twister ,3.4
Willy Wonka & the Chocolate Factory ,3.4
True Lies ,3.4
"Lion King, The ",3.4
Die Hard ,3.375
Cast Away ,3.375
Gattaca ,3.333333333
Cliffhanger ,3.333333333
Chicken Run ,3.333333333
Star Trek: Generations ,3.333333333
Ed Wood ,3.333333333
Independence Day ,3.333333333
Office Space ,3.333333333
Heathers ,3.333333333
Mr. Holland's Opus ,3.333333333
As Good as It Gets ,3.333333333
Stargate ,3.333333333
Terminator 2: Judgment Day ,3.3
"Royal Tenenbaums, The ",3.25
"Truman Show, The ",3.25
Galaxy Quest ,3.25
Crash ,3.25
Kill Bill: Vol. 1 ,3.25
Back to the Future ,3.25
Beetlejuice ,3.25
Meet the Parents ,3.166666667
The Devil's Advocate ,3.166666667
Total Recall ,3.166666667
True Romance ,3.166666667
Sleepless in Seattle ,3.125
"Italian Job, The ",3.125
Alice in Wonderland ,3.125
Ghost ,3
Ace Ventura: When Nature Calls ,3
Addams Family Values ,3
Pretty Woman ,3
Coneheads ,3
Pocahontas ,3
"Little Mermaid, The ",3
William Shakespeare's Romeo + Juliet ,3
Witness ,3
Charlie's Angels ,3
Superman ,3
"Talented Mr. Ripley, The ",3
"Mask, The ",3
Casper ,3
Ghostbusters ,3
Bridget Jones's Diary ,3
"Blair Witch Project, The ",3
Mrs. Doubtfire ,3
Big Fish ,3
Big ,3
Top Gun ,3
"Nutty Professor, The ",3
Much Ado About Nothing ,3
Beauty and the Beast ,3
Batman Returns ,3
Batman Forever ,3
My Cousin Vinny ,3
Star Wars: Episode I - The Phantom Menace ,3
"League of Their Own, A ",3
Star Trek: First Contact ,3
Unforgiven ,3
Shaun of the Dead ,3
"Fish Called Wanda, A ",3
"Santa Clause, The ",3
American Pie ,3
Eyes Wide Shut ,3
Executive Decision ,3
Erin Brockovich ,3
Sin City ,3
Singin' in the Rain ,3
Grease ,3
"Green Mile, The ",3
Election ,3
Austin Powers: International Man of Mystery ,3
Romancing the Stone ,3
Dragonheart ,3
Austin Powers: The Spy Who Shagged Me ,3
Wayne's World ,3
Die Hard 2 ,3
"Nightmare Before Christmas, The ",3
AlienÂ_ ,3
Happy Gilmore ,3
Crocodile Dundee ,3
Judge Dredd ,3
Star Trek III: The Search for Spock ,3
Dumb & Dumber ,2.8
Ace Ventura: Pet Detective ,2.714285714
"Truth About Cats & Dogs, The ",2.5
"Net, The ",2.5
Congo ,2.5
Mars Attacks! ,2.5
"Lost World: Jurassic Park, The ",2.5
Dirty Dancing ,2.5
Father of the Bride Part II ,2.5
French Kiss ,2.5
Dracula ,2.375
Grumpier Old Men ,2.333333333
"Cable Guy, The ",2
"Wedding Singer, The ",2
"Abyss, The ",2
Liar Liar ,2
Kingpin ,2
"Honey, I Shrunk the Kids ",2
"Rocky Horror Picture Show, The ",2
Back to the Future Part II ,2
Gone in 60 Seconds ,2
Wag the Dog ,2
Demolition Man ,2
Star Trek IV: The Voyage Home ,2
Species ,2
Starship Troopers ,1.666666667
Miss Congeniality ,1.5
American Psycho ,1
Arachnophobia ,1
"Mask of Zorro, The ",1
Moulin Rouge ,1
You've Got Mail ,1
Antz ,
Back to the Future Part III ,
"Birdcage, The ",
City Slickers II: The Legend of Curly's Gold ,
Con Air ,
Dave ,
Gone with the Wind ,
Jumanji ,
"Maltese Falcon, The ",
Miracle on 34th Street ,
"Mummy, The ",
Pleasantville ,
RoboCop ,
Scream ,
Spirited Away ,
Vertigo ,
